NAME|LATITUDE|LONGITUDE
AK214|67.5858457811|-152.7551367760
AK220|67.4313422181|-151.1596603040
AK211|67.6660800275|-153.9335039190
AK225|67.4181965688|-149.5287812300
AK224|67.3368857196|-149.8098350740
AK221|67.6794718109|-151.0181920470
AK215|67.4303104673|-152.5154736900
AK219|67.6590935340|-151.6586561400
AK121|66.9580663830|-155.1348263740
AK115|67.0060244560|-156.7079960040
AK120|67.0097147161|-155.7648289390
AK117|67.3313401774|-155.4525154200
AK119|67.1511954548|-155.1633915820
AK118|67.2876734620|-155.0671303430
AK116|67.3439649272|-156.0480781490
AK122|67.1226767349|-154.1113691160
AK213|67.4863901593|-153.0678812390
AK101|64.8733353865|-165.4397483800
AK107|65.1853732720|-162.7312244450
AK102|64.8184125613|-164.9754076940
AK103|64.9085700520|-164.4273506290
AK105|64.9786678945|-163.6392717950
AK106|65.3001880198|-163.4714749350
AK104|65.1539807903|-163.9843783800
AK109|64.7891961093|-159.3414087960
AK108|64.9585914720|-159.7992083510
AK110|64.4797871884|-159.8416938970
AK112|64.3397495193|-159.4508906490
AK114|63.8567417838|-159.8321979450
AK113|64.1255387933|-159.4058032300
AK111|64.5427863110|-159.4318632060
AK232|67.1078290532|-141.2709235380
YT102|67.1593458024|-140.5186358640
YT101|67.3395122255|-140.7076526990
YT104|67.0264261152|-139.9087385930
YT103|67.2679069724|-139.8541777430
YT110|65.7395317992|-139.5656977520
YT112|65.7396574042|-138.4870545560
YT111|65.7481605445|-138.8923161810
YT105|66.6591448030|-140.6620838260
YT107|66.3077042668|-140.1565153100
YT109|65.6993115631|-140.0776117420
YT106|66.4295659795|-140.1017583130
YT108|65.8757122681|-140.4641783640
AK426|64.2472197489|-142.6060548710
EX317|40.4367917372|-106.5468005330
EX311|40.5398383683|-106.5785249970
EX102|39.9411010742|-105.8170839220
EX101|39.9953183289|-105.8607418770
EX103|39.9832954714|-105.9154373050
EX301|40.3862244971|-106.6864199250
EX322|40.4102645557|-106.6824665980
EX302|40.4212861849|-106.6780696290
EX318|40.4021624715|-106.7032516300
EX306|40.3423743879|-106.7196751530
EX313|40.3774247199|-106.6264632980
EX315|40.5140289963|-106.6449029850
EX312|40.4135810351|-106.7162938190
EX305|40.3884212381|-106.8116053950
EX304|40.3853543323|-106.8315989900
EX303|40.3682136801|-106.8234111790
EX319|40.4364750712|-106.5748647230
EX320|40.4388514993|-106.5871777650
EX310|40.5339954597|-106.6258647000
EX321|40.4986001170|-106.7112235410
EX308|40.5082261923|-106.7261450470
EX314|40.5240122271|-106.7288340820
EX309|40.5514413394|-106.7564562670
EX307|40.4432848293|-106.6750691030
EX316|40.4763166133|-106.6985995490
EX105|39.9407306306|-105.9080768570
EX104|39.9803960778|-106.0037503180
EX117|39.9417579672|-105.8010615550
EX108|39.8538368269|-106.0170088710
EX107|39.8817948235|-105.9144556370
EX111|39.7764029477|-105.9778254730
EX115|39.8206031923|-105.7993450240
EX116|39.8394902115|-105.7530652680
EX114|39.8377186276|-105.8153367360
EX112|39.8732636035|-105.8555624030
EX122|39.8804003365|-105.8698733070
EX109|39.8528517065|-105.9090512690
EX110|39.8411733802|-105.9014229410
EX123|39.9406979685|-105.8479549760
EX121|39.9961552774|-105.7760069870
EX120|39.9866143140|-105.7549186730
EX119|39.9474605161|-105.7635443980
EX118|39.9165025355|-105.7499575990
EX113|39.8572390310|-105.8218245630
EX106|39.9094620097|-105.9822756200
EX201|40.7686157227|-106.4454727170
EX202|40.6876544953|-106.4454727170
EX203|40.6066551209|-106.4454727170
EX204|40.6066551209|-106.4221038820
EX205|40.6876296997|-106.4221267700
EX206|40.7686405182|-106.4221038820
EX207|40.7686157227|-106.3988189700
EX208|40.6876296997|-106.3988456730
EX209|40.6066551209|-106.3988456730
EX210|40.6066551209|-106.3754501340
EX211|40.6876296997|-106.3754806520
EX212|40.7686405182|-106.3754806520
EX213|40.7686405182|-106.3521156310
EX214|40.6876296997|-106.3521156310
EX215|40.6066551209|-106.3520812990
EX216|40.6066551209|-106.3287734990
EX217|40.6876296997|-106.3287734990
EX218|40.7686157227|-106.3287277220
EX219|40.7686500550|-106.3054237370
EX220|40.6876640320|-106.3053970340
EX221|40.6067047119|-106.3053970340
EX222|40.6066303253|-106.2820625310
EX223|40.6876544953|-106.2820968630
EX224|40.7686901093|-106.2820892330
EX225|40.7686405182|-106.2587738040
EX226|40.6876792908|-106.2587738040
EX227|40.6066799164|-106.2587738040
EX228|40.6066799164|-106.2354278560
EX229|40.6876640320|-106.2354278560
EX230|40.7686500550|-106.2354278560
EX231|40.7686252594|-106.2120971680
EX232|40.6876392365|-106.2120628360
EX233|40.6066551209|-106.2120285030
EX234|40.6067047119|-106.1887817380
EX235|40.6876792908|-106.1887741090
EX236|40.7686653137|-106.1887664790
EX237|40.7686252594|-106.1654281620
EX238|40.6876392365|-106.1654396060
EX239|40.6066551209|-106.1654510500
EX240|40.6066551209|-106.1421203610
EX241|40.6876392365|-106.1421203610
EX242|40.7686500550|-106.1421203610
EX243|40.7686500550|-106.1304702760
EX244|40.6876201630|-106.1304702760
EX245|40.6065959931|-106.1304359440
EX246|40.6066455841|-106.1537780760
EX247|40.6876201630|-106.1537780760
EX248|40.7686252594|-106.1537780760
EX249|40.7686309815|-106.1771163940
EX250|40.6876010895|-106.1770935060
EX251|40.6066207886|-106.1770706180
EX252|40.6066207886|-106.2004470830
EX253|40.6876201630|-106.2004470830
EX254|40.7686252594|-106.2004470830
EX255|40.7686252594|-106.2238121030
EX256|40.6876201630|-106.2237777710
EX257|40.6066207886|-106.2237777710
EX258|40.6066207886|-106.2471237180
EX259|40.6876201630|-106.2471237180
EX260|40.7686252594|-106.2471237180
EX261|40.7686309815|-106.2704315190
EX262|40.6875762940|-106.2704315190
EX263|40.6065959931|-106.2704315190
EX264|40.6066207886|-106.2937698360
EX265|40.6876449585|-106.2937431340
EX266|40.7686500550|-106.2937431340
EX267|40.7685985565|-106.3171005250
EX268|40.6875953675|-106.3171005250
EX269|40.6066455841|-106.3171005250
EX270|40.6066455841|-106.3404006960
EX271|40.6876201630|-106.3404006960
EX272|40.7686252594|-106.3404312130
EX273|40.7686004639|-106.3637695310
EX274|40.6876201630|-106.3637695310
EX275|40.6066455841|-106.3637695310
EX276|40.6066455841|-106.3870544430
EX277|40.6876449585|-106.3870544430
EX278|40.7686500550|-106.3870773320
EX279|40.7685737610|-106.4104232790
EX280|40.6876201630|-106.4104232790
EX281|40.6066455841|-106.4104232790
EX282|40.6066455841|-106.4337844850
EX283|40.6875762940|-106.4338226320
EX284|40.7685546875|-106.4337844850
SK108|51.9349903822|-102.8229639650
SK109|51.6946120146|-102.4398133970
SK107|51.4757703234|-103.2019184410
SK105|51.0807786356|-102.2579013560
BC110|50.8545244035|-115.7414985900
MB130|50.7599995316|-101.1569898600
MB131|50.6242113437|-100.4781488610
MB129|50.4856766129|-100.7839198810
BC107|50.5102168508|-114.9935405910
MB115|50.4479945059|-97.2582542043
BC106|50.4377335120|-115.1881235280
MB132|50.3327360890|-100.1627995740
MB128|50.3367482192|-101.0450733860
SK104|50.3057821799|-101.6773576780
LS471|50.2640491041|-88.1768534935
MB127|50.2777274723|-100.6086927920
LS480|50.2262305585|-89.1191591835
MB116|50.0834308019|-96.6709712592
MB114|50.1232809313|-97.5424327926
MB121|49.9746985571|-98.7915518285
MB120|49.9071515820|-99.5913946840
MB126|49.9180450697|-100.2764824790
SK102|49.9406121601|-101.6606158130
MB113|49.8916529073|-97.7470875463
BC105|49.8949108066|-115.4709224910
MB119|49.8189572222|-99.0515158502
BC111|49.8870643439|-116.4676671400
BC104|49.8722687473|-115.1472036810
SK307|49.7406075372|-103.0166089810
LS461|49.6860208539|-87.2683905275
LS482|49.6538008617|-89.1777484991
MB124|49.5825994850|-100.7474030360
MB118|49.5712698080|-99.4738065433
BC114|49.6687780356|-120.5716816790
MB111|49.5872511600|-96.5876962384
LS483|49.5528022510|-89.1525856231
MB112|49.5905503827|-97.5701327575
MB117|49.5835031845|-98.3542397685
MB133|49.5716856876|-98.5435185794
SK312|49.5134271905|-104.1347599390
BC103|49.5250209315|-114.7021165210
MB125|49.4502765875|-100.2522952550
SK101|49.4929964758|-101.6918785260
SK308|49.5299462959|-102.2477982410
BC113|49.5316053096|-120.1175379070
SK318|49.4028966927|-102.2990734820
SK305|49.4573159798|-103.8795007650
LS485|49.4033250909|-89.5546444631
MB109|49.3602524810|-97.8216956858
MB110|49.4038145874|-97.2741890097
BC115|49.3658397729|-120.9550518230
LS253|49.4250913301|-86.7086112608
MB106|49.3198468901|-96.5946557556
SK319|49.3370916764|-102.2821747380
MB102|49.2673206463|-98.7475068256
AB103|49.2073292354|-112.6652171450
MB101|49.1886513291|-98.4321816440
MB122|49.1898605271|-100.3868663460
MB123|49.2169617290|-101.1353597780
MB108|49.1871539937|-97.6521083713
AB107|49.1563491751|-111.6758120950
SK313|49.1536633090|-103.6299607210
MB107|49.1381593731|-96.8787923288
AB105|49.1120681326|-112.1343462120
AB108|49.1005790515|-110.6065384390
MB103|49.1239783187|-99.0671685708
LS494|49.1243483658|-89.0997674283
MB104|49.1225402085|-99.6681800358
BC116|49.0588003696|-120.7257123380
AB104|49.0560837477|-112.5384044610
BC102|49.1033638037|-114.8900155540
AB102|49.0989980013|-112.7746206820
SK304|49.1019941221|-103.5040208510
AB109|49.1169956863|-111.2917386360
AB106|49.0244901232|-111.8247079500
AB101|49.0226871224|-112.9100739440
SK301|49.0901569449|-102.0349151890
MT101|48.9566475828|-112.7606983440
ND104|48.8899434763|-102.6669806140
ND103|48.8903787353|-103.1480528020
ND106|48.8891530948|-102.3925874410
MT102|48.9390643924|-111.9413618780
MT104|48.9019739871|-113.0289216230
WA110|48.8675947325|-119.8874726970
ND105|48.9138171658|-102.2460824140
ND117|48.8162875979|-100.5724995220
MN272|48.8407942451|-95.2120186892
ND214|48.8001917550|-97.5235603667
ND116|48.8015007534|-100.1933889910
ND215|48.7988674987|-97.3409323285
ND125|48.7671602973|-101.9121987170
ND122|48.8356813430|-101.2914873470
ND109|48.8572070885|-101.6344327660
ND114|48.7596963555|-101.3967693760
ND208|48.7544865870|-98.6390838739
ND209|48.7575221058|-98.2462129410
WA109|48.8720860549|-120.6645179700
ID153|48.6891618831|-117.0433281400
ND113|48.6728262341|-100.9563222880
MT105|48.7492268145|-112.7614348300
MT313|48.7556557149|-115.0779965960
MT106|48.6987930399|-112.9740240130
